iter	MultiClass
0	1.783123932
1	1.606181009
2	1.503815598
3	1.45153061
4	1.390980646
5	1.336075101
6	1.284565167
7	1.244600206
8	1.206105432
9	1.147103054
10	1.10000699
11	1.063622528
12	1.007473382
13	0.9573931495
14	0.9379285264
15	0.9331571273
16	0.9068753761
17	0.885782592
18	0.8571811571
19	0.8452204652
20	0.8280877684
21	0.8211805588
22	0.8011095841
23	0.7790146754
24	0.7660929784
25	0.7543915707
26	0.7335248956
27	0.7195517956
28	0.7030239674
29	0.696499961
30	0.685944168
31	0.6816277274
32	0.6729909901
33	0.6658965012
34	0.6570117732
35	0.6493924733
36	0.6402708292
37	0.6383791345
38	0.632919175
39	0.6235499256
40	0.6133613967
41	0.6063086153
42	0.6024450647
43	0.5974893522
44	0.5919949181
45	0.588363499
46	0.5842886969
47	0.579597652
48	0.5752341304
49	0.569138245
50	0.5673001224
51	0.5608384434
52	0.5527838475
53	0.5456362638
54	0.5415148219
55	0.5378720111
56	0.5344637528
57	0.5298288111
58	0.527581195
59	0.5228672847
60	0.5204597901
61	0.5179347083
62	0.513263314
63	0.5078711415
64	0.5054810568
65	0.5002179531
66	0.4975101536
67	0.4916237989
68	0.4892234829
69	0.485041834
70	0.4839889725
71	0.4793584484
72	0.4759861111
73	0.4729651699
74	0.4727747269
75	0.4714041679
76	0.4669279028
77	0.4628837934
78	0.4609275246
79	0.4584772367
80	0.4568384712
81	0.454481635
82	0.4526917806
83	0.4463067442
84	0.4445045381
85	0.4419293587
86	0.4389225733
87	0.4380262896
88	0.4342009056
89	0.4312476989
90	0.4307812303
91	0.4285347993
92	0.4252624059
93	0.4232895532
94	0.4203440449
95	0.4190381633
96	0.4164127963
97	0.4156212723
98	0.4136743158
99	0.4089860038
