iter	Passed	Remaining
0	6	652
1	12	606
2	18	588
3	24	576
4	30	571
5	36	570
6	42	559
7	48	555
8	54	554
9	62	558
10	68	553
11	74	549
12	81	548
13	88	544
14	95	539
15	101	534
16	107	525
17	113	519
18	120	512
19	126	506
20	132	500
21	139	494
22	146	489
23	153	486
24	160	481
25	167	475
26	174	470
27	180	465
28	187	459
29	194	453
30	200	446
31	206	439
32	212	431
33	219	425
34	225	419
35	232	413
36	239	407
37	245	400
38	252	395
39	259	389
40	265	382
41	272	376
42	280	371
43	286	364
44	293	358
45	299	351
46	310	350
47	318	345
48	328	341
49	336	336
50	344	331
51	351	324
52	360	319
53	368	313
54	375	307
55	382	300
56	388	292
57	394	285
58	401	278
59	407	271
60	414	264
61	420	257
62	427	250
63	433	243
64	439	236
65	446	229
66	452	222
67	458	215
68	463	208
69	471	201
70	476	194
71	482	187
72	489	181
73	496	174
74	502	167
75	508	160
76	515	153
77	521	147
78	528	140
79	534	133
80	540	126
81	546	119
82	552	113
83	558	106
84	564	99
85	570	92
86	576	86
87	583	79
88	590	73
89	596	66
90	603	59
91	609	53
92	616	46
93	622	39
94	629	33
95	636	26
96	642	19
97	649	13
98	655	6
99	661	0
